kat_uzemi,upper_zoning_id,parcel_number,gml_id,areaValue_m2,beginLifespanVersion,endLifespanVersion,geometry,inspire_localId,inspire_namespace,label,nationalCadastralReference,refPoint_x,refPoint_y,refPoint_lon,refPoint_lat,validFrom,administrativeUnit_href,administrativeUnit_title,zoning_href,zoning_title,id_valuo
Ostrov u Stříbra,716073,1958/1,CP.46214856010,53118.0,2024-10-07T07:16:20Z,,-848141.93 -1070458.2 -848242.15 -1070560.05 -848237.95 -1070562.2 -848200.93 -1070598.26 -848183.75 -1070620.57 -848173.52 -1070653.06 -848167.34 -1070652.58 -848157.6 -1070677.41 -848155.31 -1070697.71 -848145.37 -1070721.41 -848138.41 -1070730.41 -848114.8 -1070745.19 -848096.95 -1070747.8 -848055.12 -1070766.43 -848054.51 -1070810.21 -848009.45 -1070744.61 -847983.79 -1070737.53 -847920.48 -1070639.05 -847920.27 -1070628.47 -847938.33 -1070611.51 -847948.66 -1070603.58 -847989.56 -1070581.57 -848051.11 -1070534.26 -848093.21 -1070506.77 -848112.71 -1070489.42 -848141.93 -1070458.2,CP.46214856010,CZ-00025712-CUZK_CP,1958/1,716073-1958/1,-848073.15,-1070646.28,13.027667980402596,49.70387404868082,,http://services.cuzk.cz/wfs/inspire-au-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=AU.503916,Ostrov u Stříbra,http://services.cuzk.cz/wfs/inspire-cp-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=CZ.716073,Kostelec,2
Krč,727598,2019/15,CP.2217749101,167.0,2014-11-24T11:26:36Z,,-741093.47 -1048503.35 -741096.49 -1048491.93 -741109.21 -1048493.81 -741107.05 -1048506.2 -741098.32 -1048504.8 -741092.45 -1048503.79 -741093.47 -1048503.35,CP.2217749101,CZ-00025712-CUZK_CP,2019/15,727598-2019/15,-741104.72,-1048499.93,14.455276949205329,50.040675493854565,,http://services.cuzk.cz/wfs/inspire-au-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=AU.554782,Krč,http://services.cuzk.cz/wfs/inspire-cp-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=CZ.727598,Praha,14
Krč,727598,2019/4,CP.2217739101,425.0,2016-08-23T11:06:40Z,,-741089.58 -1048533.86 -741072.39 -1048531.05 -741077.32 -1048501.3 -741092.45 -1048503.79 -741098.32 -1048504.8 -741094.66 -1048527.83 -741090.73 -1048527.19 -741089.58 -1048533.86,CP.2217739101,CZ-00025712-CUZK_CP,2019/4,727598-2019/4,-741090.93,-1048511.71,14.455490030563055,50.040587406310465,,http://services.cuzk.cz/wfs/inspire-au-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=AU.554782,Krč,http://services.cuzk.cz/wfs/inspire-cp-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=CZ.727598,Praha,15
Krč,727598,2019/67,CP.55732579010,27.0,2016-08-23T11:06:40Z,,-741093.6 -1048534.52 -741089.58 -1048533.86 -741090.73 -1048527.19 -741094.66 -1048527.83 -741093.6 -1048534.52,CP.55732579010,CZ-00025712-CUZK_CP,2019/67,727598-2019/67,-741094.11,-1048528.72,14.455478313115085,50.04043199878502,,http://services.cuzk.cz/wfs/inspire-au-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=AU.554782,Krč,http://services.cuzk.cz/wfs/inspire-cp-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=CZ.727598,Praha,16
Krč,727598,386/1,CP.2215084101,587.0,2024-01-24T11:16:20Z,,-742421 -1048616.21 -742409.2 -1048614.56 -742400.1 -1048613.33 -742395.55 -1048612.01 -742408.05 -1048580.64 -742424.61 -1048586.69 -742421.1 -1048615.43 -742421 -1048616.21,CP.2215084101,CZ-00025712-CUZK_CP,386/1,727598-386/1,-742412.57,-1048607.67,14.437392817859793,50.03811659397307,,http://services.cuzk.cz/wfs/inspire-au-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=AU.554782,Krč,http://services.cuzk.cz/wfs/inspire-cp-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=CZ.727598,Praha,24
Krč,727598,403/1,CP.2215105101,69.0,2014-11-24T11:26:36Z,,-742391.71 -1048620.21 -742392.5 -1048611.35 -742395.55 -1048612.01 -742400.1 -1048613.33 -742399.38 -1048622.13 -742391.71 -1048620.21,CP.2215105101,CZ-00025712-CUZK_CP,403/1,727598-403/1,-742398.67,-1048618.84,14.437606282878484,50.03803410738878,,http://services.cuzk.cz/wfs/inspire-au-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=AU.554782,Krč,http://services.cuzk.cz/wfs/inspire-cp-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=CZ.727598,Praha,25
Krč,727598,384,CP.2215083101,5.0,2014-11-24T11:26:36Z,,-742424.61 -1048586.69 -742408.05 -1048580.64 -742408.27 -1048580.08 -742417.3 -1048583.78 -742424.61 -1048586.69,CP.2215083101,CZ-00025712-CUZK_CP,384,727598-384,-742409.45,-1048580.91,14.437385120026034,50.03835877875895,,http://services.cuzk.cz/wfs/inspire-au-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=AU.554782,Krč,http://services.cuzk.cz/wfs/inspire-cp-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=CZ.727598,Praha,26
Krč,727598,387,CP.2215086101,208.0,2024-01-24T11:16:20Z,,-742419.65 -1048627.2 -742407.36 -1048624.13 -742399.38 -1048622.13 -742400.1 -1048613.33 -742409.2 -1048614.56 -742421 -1048616.21 -742419.65 -1048627.2,CP.2215086101,CZ-00025712-CUZK_CP,387,727598-387,-742411.11,-1048620.66,14.437437692978483,50.038002671460134,,http://services.cuzk.cz/wfs/inspire-au-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=AU.554782,Krč,http://services.cuzk.cz/wfs/inspire-cp-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=CZ.727598,Praha,27
Krč,727598,1231/2,CP.44072222010,113.0,2015-11-06T15:06:28Z,,-741681.02 -1047927 -741683.53 -1047923.86 -741716.49 -1047882.66 -741718.04 -1047883.89 -741682.57 -1047928.25 -741681.02 -1047927,CP.44072222010,CZ-00025712-CUZK_CP,1231/2,727598-1231/2,-741695.41,-1047911.46,14.445989681581933,50.045195483008705,,http://services.cuzk.cz/wfs/inspire-au-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=AU.554782,Krč,http://services.cuzk.cz/wfs/inspire-cp-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=CZ.727598,Praha,29
Krč,727598,1231/1,CP.44072221010,1167.0,2020-05-27T05:06:22Z,,-741718.04 -1047883.89 -741734.67 -1047897.15 -741704.78 -1047934.47 -741701.75 -1047932.07 -741699.23 -1047935.2 -741698.75 -1047935.72 -741698.2 -1047936.17 -741697.59 -1047936.54 -741697.39 -1047936.63 -741696.73 -1047936.88 -741696.04 -1047937.03 -741695.33 -1047937.09 -741694.62 -1047937.04 -741692.14 -1047935.93 -741682.57 -1047928.25 -741718.04 -1047883.89,CP.44072221010,CZ-00025712-CUZK_CP,1231/1,727598-1231/1,-741704.85,-1047917.07,14.445869755380544,50.04513396759429,,http://services.cuzk.cz/wfs/inspire-au-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=AU.554782,Krč,http://services.cuzk.cz/wfs/inspire-cp-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=CZ.727598,Praha,30
Krč,727598,1642,CP.2217337101,264.0,2014-11-24T11:26:36Z,,-741362.68 -1048390.34 -741376.8 -1048367.17 -741380.88 -1048366.95 -741393 -1048374.23 -741387.7 -1048383.29 -741375.62 -1048376.28 -741369.89 -1048386.02 -741369.67 -1048386.55 -741369.55 -1048387.1 -741369.54 -1048387.19 -741369.53 -1048387.76 -741369.62 -1048388.32 -741369.81 -1048388.86 -741367.31 -1048393.19 -741362.68 -1048390.34,CP.2217337101,CZ-00025712-CUZK_CP,1642,727598-1642,-741384.56,-1048375.79,14.451170804504624,50.04143936348854,,http://services.cuzk.cz/wfs/inspire-au-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=AU.554782,Krč,http://services.cuzk.cz/wfs/inspire-cp-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=CZ.727598,Praha,38
Krč,727598,2209/17,CP.3430548101,39.0,2014-11-24T11:26:36Z,,-741271.7 -1048994.61 -741273.09 -1048996.78 -741277.23 -1049003.24 -741279.75 -1049012.47 -741277.75 -1049010.37 -741275.4 -1049010.5 -741275.27 -1049003.66 -741270.87 -1048996.85 -741271.29 -1048996.25 -741271.7 -1048994.61,CP.3430548101,CZ-00025712-CUZK_CP,2209/17,727598-2209/17,-741276.16,-1049006.28,14.453866346835797,50.035955545163084,,http://services.cuzk.cz/wfs/inspire-au-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=AU.554782,Krč,http://services.cuzk.cz/wfs/inspire-cp-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=CZ.727598,Praha,40
